Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Estonia,2585,64,2213,308,21,2.48,85.61,2.89,1326539,1949.0,6250,1598,25.57
Eswatini,4936,97,4077,762,32,1.97,82.6,2.38,1160164,4255.0,6013,92,1.53
Ethiopia,61700,966,23054,37680,916,1.57,37.36,4.19,114963583,537.0,99982,3074,3.07
Fiji,32,2,24,6,1,6.25,75.0,8.33,896444,36.0,34,1,2.94
Finland,8430,337,7500,593,93,4.0,88.97,4.49,5540718,1521.0,17887,1532,8.56
France,383292,30805,89242,263245,9574,8.04,23.28,34.52,68151730,5624.0,1856027,185266,9.98
Gabon,8621,53,7618,950,13,0.61,88.37,0.7,2225728,3873.0,9029,55,0.61
Gambia,3293,99,1460,1734,18,3.01,44.34,6.78,2416664,1363.0,3696,9,0.24
Georgia,1773,19,1325,429,44,1.07,74.73,1.43,3989175,444.0,60680,22155,36.51
Germany,256433,9342,228784,18307,1476,3.64,89.22,4.08,166803158,1537.0,689146,128380,18.63
Ghana,45313,283,44188,842,301,0.62,97.52,0.64,31072945,1458.0,49202,1174,2.39
Greece,12080,293,7262,4525,248,2.43,60.12,4.03,10423056,1159.0,58187,18216,31.31
Grenada,24,0,24,0,0,0.0,100.0,0.0,112519,213.0,32,1,3.12
Guatemala,79622,2897,68308,8417,901,3.64,85.79,4.24,17915567,4444.0,111360,3672,3.3
Guinea,9885,63,9068,754,37,0.64,91.73,0.69,13132792,753.0,12459,165,1.32
Guinea-Bissau,2245,38,1127,1080,0,1.69,50.2,3.37,1967998,1141.0,2419,0,0.0
Guyana,1703,48,1045,610,90,2.82,61.36,4.59,786559,2165.0,4524,370,8.18
Haiti,8384,214,5991,2179,8,2.55,71.46,3.57,11402533,735.0,9137,51,0.56
Holy See,12,0,12,0,0,0.0,100.0,0.0,809,14833.0,27,0,0.0
Honduras,65597,2044,15064,48489,379,3.12,22.96,13.57,9904608,6623.0,100573,2666,2.65
Hungary,9715,628,3984,5103,411,6.46,41.01,15.76,9660350,1006.0,114778,32678,28.47
Iceland,2153,10,2067,76,3,0.46,96.01,0.48,341250,6309.0,5101,104,2.04
India,4465863,75062,3471783,919018,95735,1.68,77.74,2.16,-2147483648,-2080.0,8591730,281811,3.28
Indonesia,203342,8336,145200,49806,3307,4.1,71.41,5.74,273523621,743.0,440569,30079,6.83
Iran,393425,22669,339111,31645,2313,5.76,86.19,6.68,83992953,4684.0,692949,82172,11.86
Iraq,273821,7732,209993,56096,4243,2.82,76.69,3.68,40222503,6808.0,501733,19809,3.95
Ireland,30164,1781,23364,5019,84,5.9,77.46,7.62,4937796,6109.0,65659,2697,4.11
Israel,141097,1054,108354,31689,3532,0.75,76.79,0.97,8655541,16301.0,320184,4571,1.43
Italy,281583,35577,211272,34734,1430,12.63,75.03,16.84,120822834,2331.0,960373,245508,25.56
Jamaica,3437,38,1019,2380,114,1.11,29.65,3.73,2961161,1161.0,9542,387,4.06
Japan,73264,1412,63734,8118,540,1.93,86.99,2.22,252643406,290.0,109191,10366,9.49
Jordan,2659,19,1919,721,78,0.71,72.17,0.99,10203140,261.0,114986,34553,30.05
Kazakhstan,106584,1634,100248,4702,86,1.53,94.06,1.63,18776707,5676.0,117336,4317,3.68
Kenya,35460,607,21557,13296,104,1.71,60.79,2.82,53771300,659.0,63244,7560,11.95
"Korea, South",21743,346,17360,4037,155,1.59,79.84,1.99,51269183,424.0,27653,1345,4.86
Kosovo,14377,574,10926,2877,76,3.99,76.0,5.25,1793000,8018.0,24792,5013,20.22
Kuwait,92082,552,82222,9308,838,0.6,89.29,0.67,4270563,21562.0,132478,4851,3.66
Kyrgyzstan,44613,1061,40336,3216,126,2.38,90.41,2.63,6524191,6838.0,63390,3593,5.67
Laos,22,0,21,1,0,0.0,95.45,0.0,7275556,3.0,24,0,0.0
Latvia,1443,35,1234,174,11,2.43,85.52,2.84,1886202,765.0,8187,2449,29.91
Lebanon,21877,212,7024,14641,553,0.97,32.11,3.02,6825442,3205.0,95355,11091,11.63
Lesotho,1164,31,528,605,16,2.66,45.36,5.87,2142252,543.0,1967,74,3.76
Liberia,1313,82,1194,37,2,6.25,90.94,6.87,5057677,260.0,1452,60,4.13
Libya,20462,324,2329,17809,879,1.58,11.38,13.91,6871287,2978.0,69040,5284,7.65
Liechtenstein,108,1,105,2,1,0.93,97.22,0.95,38137,2832.0,801,188,23.47
Lithuania,3163,86,2008,1069,32,2.72,63.48,4.28,2722291,1162.0,25755,10156,39.43
Luxembourg,7023,124,6292,607,49,1.77,89.59,1.97,625976,11219.0,23227,4029,17.35
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,15520,206,14243,1071,85,1.33,91.77,1.45,27691019,560.0,17223,87,0.51
Malawi,5653,176,3630,1847,23,3.11,64.21,4.85,19129955,296.0,5953,18,0.3
Malaysia,9583,128,9143,312,24,1.34,95.41,1.4,32365998,296.0,41181,7339,17.82
Maldives,8834,31,6288,2515,93,0.35,71.18,0.49,540542,16343.0,12009,305,2.54
Mali,2898,128,2267,503,16,4.42,78.23,5.65,20250834,143.0,3712,236,6.36
Malta,2162,14,1760,388,63,0.65,81.41,0.8,441539,4897.0,7243,894,12.34
Marshall Islands,0,0,0,0,0,0.0,0.0,0.0,58413,0.0,1,0,0.0
Mauritania,7191,161,6701,329,26,2.24,93.19,2.4,4649660,1547.0,7833,146,1.86
Mauritius,361,10,335,16,0,2.77,92.8,2.99,1271767,284.0,453,38,8.39
Mexico,647321,69049,538514,39758,4461,10.67,83.19,12.82,255584572,2533.0,972785,36611,3.76
Moldova,41144,1096,28962,11086,588,2.66,70.39,3.78,4033963,10199.0,82677,7166,8.67
Monaco,161,1,107,53,5,0.62,66.46,0.93,39244,4103.0,490,62,12.65
Mongolia,310,0,298,12,0,0.0,96.13,0.0,3278292,95.0,368,66,17.93
Montenegro,6094,114,4350,1630,219,1.87,71.38,2.62,628062,9703.0,23608,4165,17.64
Morocco,77878,1453,59723,16702,2157,1.87,76.69,2.43,36910558,2110.0,259951,36238,13.94
Mozambique,4764,28,2763,1973,117,0.59,58.0,1.01,31255435,152.0,13823,691,5.0
Namibia,9108,93,4640,4375,180,1.02,50.94,2.0,2540916,3585.0,13240,315,2.38
Nepal,49219,312,33882,15025,1081,0.63,68.84,0.92,29136808,1689.0,197024,13949,7.08
Netherlands,81085,6281,1742,73062,1293,7.75,2.15,360.56,34882427,2325.0,421503,38334,9.09
New Zealand,1792,24,1648,120,4,1.34,91.96,1.46,4822233,372.0,1987,18,0.91
Nicaragua,4818,144,2913,1761,0,2.99,60.46,4.94,6624554,727.0,5591,70,1.25
Niger,1178,69,1099,10,0,5.86,93.29,6.28,24206636,49.0,1246,70,5.62
Nigeria,55632,1070,43610,10952,176,1.92,78.39,2.45,399640130,139.0,64184,1121,1.75
North Macedonia,15293,634,12754,1905,67,4.15,83.4,4.97,2083380,7340.0,40275,7361,18.28
Norway,11746,264,9348,2134,123,2.25,79.58,2.82,5421242,2167.0,25325,3109,12.28
Oman,87939,751,83115,4073,349,0.85,94.51,0.9,5106622,17221.0,118503,2215,1.87
Pakistan,300030,6365,287658,6007,371,2.12,95.88,2.21,428724125,700.0,346476,14606,4.22
Panama,99042,2116,71419,25507,635,2.14,72.11,2.96,4314768,22954.0,140331,7336,5.23
Papua New Guinea,504,5,232,267,1,0.99,46.03,2.16,8947027,56.0,599,3,0.5
Paraguay,25026,474,12309,12243,812,1.89,49.18,3.85,7132530,3509.0,67948,4151,6.11
Peru,696190,30123,536959,129108,4615,4.33,77.13,5.61,65597846,10613.0,922333,14678,1.59
Philippines,245143,3986,185543,55614,3156,1.63,75.69,2.15,109581085,2237.0,398449,11125,2.79
Poland,71947,2147,57135,12665,421,2.98,79.41,3.76,37846605,1901.0,568138,165650,29.16
Portugal,61541,1849,43284,16408,646,3.0,70.33,4.27,10196707,6035.0,183420,42252,23.04
Qatar,120846,205,117746,2895,267,0.17,97.43,0.17,2881060,41945.0,134433,1595,1.19
Romania,98304,4018,41002,53284,1271,4.09,41.71,9.8,19237682,5110.0,306991,58221,18.97
Russia,1037526,18080,854069,165377,5172,1.74,82.32,2.12,292579178,3546.0,1781997,150714,8.46
Rwanda,4460,21,2325,2114,21,0.47,52.13,0.9,12952209,344.0,5242,249,4.75
Saint Kitts and Nevis,17,0,17,0,0,0.0,100.0,0.0,53109,320.0,19,0,0.0
Saint Lucia,27,0,26,1,1,0.0,96.3,0.0,183629,147.0,141,30,21.28
Saint Vincent and the Grenadines,62,0,58,4,0,0.0,93.55,0.0,110854,559.0,76,2,2.63
San Marino,722,42,662,18,6,5.82,91.69,6.34,33938,21274.0,1114,176,15.8
Sao Tome and Principe,898,15,862,21,0,1.67,95.99,1.74,219159,4097.0,962,3,0.31
Saudi Arabia,323012,4165,298966,19881,775,1.29,92.56,1.39,34813867,9278.0,350984,2572,0.73
Senegal,14102,293,10176,3633,58,2.08,72.16,2.88,16743930,842.0,15711,90,0.57
Serbia,32078,728,0,31350,84,2.27,0.0,inf,8737370,3671.0,64065,23316,36.39
Seychelles,137,0,127,10,0,0.0,92.7,0.0,98340,1393.0,158,2,1.27
Sierra Leone,2067,72,1622,373,3,3.48,78.47,4.44,7976985,259.0,2385,6,0.25
Singapore,57166,27,56492,647,75,0.05,98.82,0.05,5850343,9771.0,58064,60,0.1
Slovakia,4888,37,2947,1904,161,0.76,60.29,1.26,5459643,895.0,76072,11204,14.73
Slovenia,3312,135,2587,590,80,4.08,78.11,5.22,2078932,1593.0,45625,9919,21.74
Solomon Islands,0,0,0,0,0,0.0,0.0,0.0,652858,0.0,16,0,0.0
Somalia,3371,97,2738,536,0,2.88,81.22,3.54,15893219,212.0,4301,0,0.0
South Africa,642431,15168,569935,57328,1990,2.36,88.72,2.66,59308690,10832.0,738525,13744,1.86
South Sudan,2555,49,1290,1216,3,1.92,50.49,3.8,11193729,228.0,2960,52,1.76
Spain,543379,29628,150376,363375,8866,5.45,27.67,19.7,93691843,5800.0,1381218,115646,8.37
Sri Lanka,3147,12,2946,189,7,0.38,93.61,0.41,21413250,147.0,14285,3389,23.72
Sudan,13437,833,6730,5874,0,6.2,50.09,12.38,43849269,306.0,14155,573,4.05
Suriname,4447,92,3622,733,28,2.07,81.45,2.54,586634,7581.0,5241,34,0.65
Sweden,85880,5842,0,80038,173,6.8,0.0,inf,20426859,4204.0,146461,30894,21.09
Switzerland,45306,2019,38100,5187,469,4.46,84.09,5.3,8654618,5235.0,229222,40752,17.78
Syria,3351,143,780,2428,62,4.27,23.28,18.33,17500657,191.0,6284,475,7.56
Taiwan*,495,7,475,13,0,1.41,95.96,1.47,23806638,21.0,578,25,4.33
Tajikistan,8899,71,7683,1145,39,0.8,86.34,0.92,9537642,933.0,11376,273,2.4
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,3454,58,3310,86,7,1.68,95.83,1.75,69799978,49.0,3844,34,0.88
Timor-Leste,27,0,25,2,0,0.0,92.59,0.0,1318442,20.0,30,0,0.0
Togo,1528,36,1144,348,15,2.36,74.87,3.15,8278737,185.0,2523,170,6.74
